,Area.of.residence,Area.of.workplace,All.categories..Method.of.travel.to.work,Work.mainly.at.or.from.home,Underground..metro..light.rail..tram,Train,Bus..minibus.or.coach,Taxi,Motorcycle..scooter.or.moped,Driving.a.car.or.van,Passenger.in.a.car.or.van,Bicycle,On.foot,Other.method.of.travel.to.work,dist,p_cycle,pc,ecp,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time,fastest_distance,quietest_time,quietest_distance
910633,E02002330,E02002418,2,0,0,0,0,0,0,1,0,0,1,0,17948.1263195383,0.0082826023,0.0165652047,0.0165652047,-1.400577159,53.9291452967,-1.3777795008,53.7683968144,,,,
910634,E02002330,E02002419,15,0,0,0,3,0,0,10,1,0,1,0,20947.7664069868,0.0045459158,0.0681887363,0.0681887363,-1.400577159,53.9291452967,-1.5759700333,53.7720065627,,,,
910635,E02002330,E02002420,8,0,0,0,0,0,0,8,0,0,0,0,20758.171598297,0.004721602,0.0377728162,0.0377728162,-1.400577159,53.9291452967,-1.5544406537,53.7662624593,,,,
910636,E02002330,E02002421,2,0,0,0,0,0,0,2,0,0,0,0,20054.0122736137,0.005435655,0.0108713099,0.0108713099,-1.400577159,53.9291452967,-1.5311318696,53.766273027,,,,
910637,E02002330,E02002422,15,0,0,0,2,0,0,13,0,0,0,0,22597.99024187,0.0032680204,0.0490203063,0.0490203063,-1.400577159,53.9291452967,-1.5870012411,53.7585630809,,,,
910638,E02002330,E02002424,5,0,0,0,0,0,0,4,1,0,0,0,23776.2876917161,0.0025818984,0.0129094919,0.0129094919,-1.400577159,53.9291452967,-1.6160378671,53.7575906876,,,,
910639,E02002330,E02002425,2,0,0,0,0,0,0,1,0,0,1,0,25398.2368704595,0.0018666308,0.0037332616,0.0037332616,-1.400577159,53.9291452967,-1.6522103299,53.7560427315,,,,
910640,E02002330,E02002426,5,0,0,0,0,1,0,2,1,0,1,0,20007.3849330901,0.0054865821,0.0274329104,0.0274329104,-1.400577159,53.9291452967,-1.4497412823,53.7516900235,,,,
910641,E02002330,E02002427,1,0,0,0,1,0,0,0,0,0,0,0,20448.1189136877,0.0050236597,0.0050236597,0.0050236597,-1.400577159,53.9291452967,-1.4787898939,53.7512783244,,,,
910642,E02002330,E02002428,4,0,0,0,0,0,0,3,0,0,1,0,21565.7107960331,0.0040174216,0.0160696866,0.0160696866,-1.400577159,53.9291452967,-1.5367152244,53.7528293516,,,,
910643,E02002330,E02002430,3,0,0,0,0,0,0,1,0,0,2,0,22577.8129046593,0.0032812351,0.0098437052,0.0098437052,-1.400577159,53.9291452967,-1.5552160268,53.7479997938,,,,
910644,E02002330,E02002431,4,0,0,0,0,0,0,4,0,0,0,0,23835.4982919522,0.0025515036,0.0102060142,0.0102060142,-1.400577159,53.9291452967,-1.582351837,53.7438491095,,,,
910645,E02002330,E02002433,5,0,0,0,0,0,0,5,0,0,0,0,24638.6307925916,0.0021728862,0.0108644309,0.0108644309,-1.400577159,53.9291452967,-1.5993137073,53.7414729237,,,,
910646,E02002330,E02002435,7,0,0,0,1,0,0,5,0,0,1,0,25919.0431061221,0.0016819837,0.0117738857,0.0117738857,-1.400577159,53.9291452967,-1.6099686404,53.731849243,,,,
