id,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time_in_s,fastest_distance_in_m,quietest_time_in_s,quietest_distance_in_m
157,-1.347653388,53.9226868903,-1.3777795008,53.7683968144,5072,21628,5874,22680
158,-1.347653388,53.9226868903,-1.5759700333,53.7720065627,6496,26356,7859,30705
159,-1.347653388,53.9226868903,-1.5544406537,53.7662624593,6281,25539,7857,30376
160,-1.347653388,53.9226868903,-1.5870012411,53.7585630809,7325,28647,8718,32875
161,-1.347653388,53.9226868903,-1.6160378671,53.7575906876,7633,29558,9974,36242
162,-1.347653388,53.9226868903,-1.6522103299,53.7560427315,8566,32609,10774,39106
163,-1.347653388,53.9226868903,-1.4497412823,53.7516900235,5598,24322,6832,26993
164,-1.347653388,53.9226868903,-1.4787898939,53.7512783244,6262,26716,7417,29083
165,-1.347653388,53.9226868903,-1.5367152244,53.7528293516,6898,27670,8117,31199
166,-1.347653388,53.9226868903,-1.5552160268,53.7479997938,7295,28014,8595,32094
167,-1.347653388,53.9226868903,-1.3907128949,53.7377548683,6153,24978,7148,26567
168,-1.347653388,53.9226868903,-1.6099686404,53.731849243,8722,32581,10929,37846
169,-1.347653388,53.9226868903,-1.548726411,53.7278916122,7943,32501,9811,35721
170,-1.347653388,53.9226868903,-1.5867043323,53.832819017,5385,21740,6211,25848
171,-1.347653388,53.9226868903,-1.5650215028,53.8179856472,5738,21698,6432,25050
172,-1.347653388,53.9226868903,-1.5455825172,53.7962246679,5563,22499,6175,25028
173,-1.347653388,53.9226868903,-1.5182092462,53.7749327017,5861,24718,7021,27699
174,-1.7052666419,53.9113271892,-1.347653388,53.9226868903,5869,27282,8628,30922
175,-1.7052666419,53.9113271892,-1.7052666419,53.9113271892,0,0,0,0
176,-1.7052666419,53.9113271892,-1.6876952052,53.9007791557,624,1994,625,2051
177,-1.7052666419,53.9113271892,-1.3576524285,53.8825638629,5989,27304,7352,29421
178,-1.7052666419,53.9113271892,-1.4710718403,53.8916514302,4042,18856,6105,21318
179,-1.7052666419,53.9113271892,-1.6243652108,53.8858954673,2303,7094,2623,7163
180,-1.7052666419,53.9113271892,-1.7433977723,53.8804538587,2194,6256,2354,6122
181,-1.7052666419,53.9113271892,-1.7105896018,53.87071637,2001,6573,2034,6593
182,-1.7052666419,53.9113271892,-1.6941821605,53.8680881823,2401,7694,2589,7523
183,-1.7052666419,53.9113271892,-1.6785346758,53.8686194272,2446,7007,2872,8301
184,-1.7052666419,53.9113271892,-1.5553319814,53.869697221,3685,13621,4091,13780
185,-1.7052666419,53.9113271892,-1.6224194963,53.8628501517,2841,8930,3128,9814
186,-1.7052666419,53.9113271892,-1.6775621599,53.8561494482,2836,8587,3270,10196
187,-1.7052666419,53.9113271892,-1.5253058419,53.8541243112,4046,15539,4452,15698
188,-1.7052666419,53.9113271892,-1.5896573219,53.8575607216,3204,11975,3718,12481
189,-1.7052666419,53.9113271892,-1.6186437517,53.8500711391,3342,10474,3629,11358
190,-1.7052666419,53.9113271892,-1.5519706135,53.8492478781,3729,13598,4183,13883
191,-1.7052666419,53.9113271892,-1.604851375,53.8460916699,3446,11048,3733,11932
192,-1.7052666419,53.9113271892,-1.4977270094,53.8433559571,4550,18050,5422,19185
193,-1.7052666419,53.9113271892,-1.645681837,53.8471890098,3265,10710,3775,10865
194,-1.7052666419,53.9113271892,-1.5485327985,53.8394232219,4057,15040,4630,15416
195,-1.7052666419,53.9113271892,-1.6698365717,53.8396256342,3132,11195,3506,12089
196,-1.7052666419,53.9113271892,-1.6291347025,53.835990229,3219,11168,3923,13245
197,-1.7052666419,53.9113271892,-1.4598015075,53.8357920354,5120,20786,6279,22696
198,-1.7052666419,53.9113271892,-1.5143714712,53.8291749544,4609,17724,5166,18109
199,-1.7052666419,53.9113271892,-1.6131811509,53.8306166402,3547,12223,4190,14707
200,-1.7052666419,53.9113271892,-1.5348689623,53.828844426,4339,16305,4912,16681
201,-1.7052666419,53.9113271892,-1.4664255759,53.8267392129,5228,21339,6456,23733
202,-1.7052666419,53.9113271892,-1.4940384943,53.827020389,4956,19955,6118,21810
203,-1.7052666419,53.9113271892,-1.6852862057,53.8243425956,4052,13924,5062,13920
204,-1.7052666419,53.9113271892,-1.479266593,53.820355325,5282,21963,6256,23150
205,-1.7052666419,53.9113271892,-1.530848943,53.8193025853,4617,18154,5136,18762
206,-1.7052666419,53.9113271892,-1.5813803838,53.8184752721,3946,16021,4443,16088
207,-1.7052666419,53.9113271892,-1.5978264373,53.8174200785,3887,14170,4275,15582
208,-1.7052666419,53.9113271892,-1.6270046147,53.8205240553,4031,13995,4733,16010
209,-1.7052666419,53.9113271892,-1.5194226834,53.8153651938,4669,18644,5320,19707
210,-1.7052666419,53.9113271892,-1.6413464562,53.8153341658,4168,14238,4868,16242
211,-1.7052666419,53.9113271892,-1.6550978034,53.8176424986,4133,14852,5213,17839
212,-1.7052666419,53.9113271892,-1.5121470392,53.8110109367,4973,19075,5666,20577
213,-1.7052666419,53.9113271892,-1.5450850219,53.8096337814,4565,18378,5162,19004
214,-1.7052666419,53.9113271892,-1.5824764839,53.8079116016,4325,16101,4736,17649
215,-1.7052666419,53.9113271892,-1.4237982697,53.8075625094,5972,24949,7182,27364
216,-1.7052666419,53.9113271892,-1.6352400439,53.808721822,4507,15112,5248,17177
217,-1.7052666419,53.9113271892,-1.6102509195,53.8088425684,4375,16179,4893,17151
218,-1.7052666419,53.9113271892,-1.4693922426,53.8062954254,5677,23180,6823,25630
219,-1.7052666419,53.9113271892,-1.6682097793,53.8056954082,4656,16390,5733,18948
220,-1.7052666419,53.9113271892,-1.5609149148,53.8046175701,4557,18206,5200,18971
221,-1.7052666419,53.9113271892,-1.523831007,53.804524144,4914,20307,5663,21066
222,-1.7052666419,53.9113271892,-1.5096383515,53.8031039327,5254,20407,5932,21877
223,-1.7052666419,53.9113271892,-1.6932426898,53.8043391989,4777,16087,5787,16083
224,-1.7052666419,53.9113271892,-1.611086847,53.8011739849,4843,17105,5361,18077
225,-1.7052666419,53.9113271892,-1.646020275,53.7991338977,4866,16654,6058,20217
226,-1.7052666419,53.9113271892,-1.460795059,53.7829085208,6325,26426,7638,28623
227,-1.7052666419,53.9113271892,-1.5026560497,53.78732075,5615,22409,6275,24849
228,-1.7052666419,53.9113271892,-1.5794874121,53.7971878792,4930,19259,5660,19582
229,-1.7052666419,53.9113271892,-1.4836544556,53.7825528843,5803,23526,6535,26372
230,-1.7052666419,53.9113271892,-1.4368532119,53.7923560633,6166,25653,7579,28878
231,-1.7052666419,53.9113271892,-1.3874627589,53.795090583,7004,30429,8844,31694
232,-1.7052666419,53.9113271892,-1.5185093357,53.7923791487,5274,21126,6596,22851
233,-1.7052666419,53.9113271892,-1.68442047,53.7897676905,6048,18589,7325,21589
234,-1.7052666419,53.9113271892,-1.3695940677,53.7871307636,7265,30136,9310,33533
235,-1.7052666419,53.9113271892,-1.609748378,53.7908519873,5080,17704,5818,20518
236,-1.7052666419,53.9113271892,-1.6531563541,53.7886108817,5237,17993,6416,21633
237,-1.7052666419,53.9113271892,-1.6306694818,53.782634954,5613,18691,6969,23094
238,-1.7052666419,53.9113271892,-1.5870002098,53.7877647368,5150,19086,5714,20275
239,-1.7052666419,53.9113271892,-1.5612145536,53.7847868814,5142,20961,5641,21434
240,-1.7052666419,53.9113271892,-1.6064431662,53.7762799407,6016,20087,6741,22810
241,-1.7052666419,53.9113271892,-1.5451628768,53.781746077,5293,21920,5818,22549
242,-1.7052666419,53.9113271892,-1.5495116861,53.7742881837,5614,22435,6119,22942
243,-1.7052666419,53.9113271892,-1.4119631696,53.7684705358,7037,29755,8813,33469
244,-1.7052666419,53.9113271892,-1.5759700333,53.7720065627,5647,22609,6341,23706
245,-1.7052666419,53.9113271892,-1.5544406537,53.7662624593,5816,23287,6406,24015
246,-1.7052666419,53.9113271892,-1.5870012411,53.7585630809,6259,24267,7200,25876
247,-1.7052666419,53.9113271892,-1.5221683155,53.7596112618,6312,25208,7004,26593
248,-1.7052666419,53.9113271892,-1.6160378671,53.7575906876,6726,23993,8395,28143
249,-1.7052666419,53.9113271892,-1.6522103299,53.7560427315,6919,24627,9172,25641
250,-1.7052666419,53.9113271892,-1.5367152244,53.7528293516,6531,26268,7149,27005
251,-1.7052666419,53.9113271892,-1.582351837,53.7438491095,6805,26689,8201,28116
252,-1.7052666419,53.9113271892,-1.5993137073,53.7414729237,7181,26872,8737,29332
253,-1.7052666419,53.9113271892,-1.6099686404,53.731849243,7693,25971,9471,31244
254,-1.7052666419,53.9113271892,-1.5661378139,53.7157120118,7571,29361,8588,32455
255,-1.7052666419,53.9113271892,-1.5867043323,53.832819017,3617,14187,4138,14861
256,-1.7052666419,53.9113271892,-1.5650215028,53.8179856472,4322,16747,4897,17468
257,-1.7052666419,53.9113271892,-1.5455825172,53.7962246679,4838,19294,5813,20663
258,-1.7052666419,53.9113271892,-1.5182092462,53.7749327017,5609,23443,6140,24515
259,-1.6876952052,53.9007791557,-1.400577159,53.9291452967,4941,23242,7107,24985
260,-1.6876952052,53.9007791557,-1.347653388,53.9226868903,5630,26479,8784,31290
261,-1.6876952052,53.9007791557,-1.7052666419,53.9113271892,493,1994,496,2014
262,-1.6876952052,53.9007791557,-1.6876952052,53.9007791557,0,0,0,0
263,-1.6876952052,53.9007791557,-1.3576524285,53.8825638629,5750,26501,6728,27370
264,-1.6876952052,53.9007791557,-1.4710718403,53.8916514302,3803,18053,5817,19030
265,-1.6876952052,53.9007791557,-1.6243652108,53.8858954673,1769,4999,1999,5112
266,-1.6876952052,53.9007791557,-1.7433977723,53.8804538587,1936,4912,1936,4912
267,-1.6876952052,53.9007791557,-1.7105896018,53.87071637,1616,5383,1616,5383
268,-1.6876952052,53.9007791557,-1.6941821605,53.8680881823,2016,6504,2171,6313
269,-1.6876952052,53.9007791557,-1.6785346758,53.8686194272,1823,5013,2304,5805
270,-1.6876952052,53.9007791557,-1.5553319814,53.869697221,3174,11953,3467,11729
271,-1.6876952052,53.9007791557,-1.6224194963,53.8628501517,2218,6936,2504,7763
272,-1.6876952052,53.9007791557,-1.6775621599,53.8561494482,2213,6593,2852,8986
273,-1.6876952052,53.9007791557,-1.5253058419,53.8541243112,3535,13871,3828,13647
274,-1.6876952052,53.9007791557,-1.5896573219,53.8575607216,2693,10307,3094,10430
275,-1.6876952052,53.9007791557,-1.6186437517,53.8500711391,2719,8480,3005,9307
276,-1.6876952052,53.9007791557,-1.5519706135,53.8492478781,3218,11930,3559,11832
277,-1.6876952052,53.9007791557,-1.604851375,53.8460916699,2823,9054,3109,9881
278,-1.6876952052,53.9007791557,-1.4977270094,53.8433559571,4039,16382,4798,17134
279,-1.6876952052,53.9007791557,-1.645681837,53.8471890098,2642,8716,3151,8814
280,-1.6876952052,53.9007791557,-1.4409663716,53.8449366971,4886,20673,5932,22200
281,-1.6876952052,53.9007791557,-1.5316182735,53.8418058636,3673,13788,4133,13781
282,-1.6876952052,53.9007791557,-1.5182369926,53.84054915,3876,15148,4385,15458
283,-1.6876952052,53.9007791557,-1.5485327985,53.8394232219,3546,13372,4006,13365
284,-1.6876952052,53.9007791557,-1.6698365717,53.8396256342,2562,9271,3088,10879
285,-1.6876952052,53.9007791557,-1.6291347025,53.835990229,2596,9174,3299,11194
286,-1.6876952052,53.9007791557,-1.4598015075,53.8357920354,4609,19118,5655,20645
287,-1.6876952052,53.9007791557,-1.3697425356,53.8308039574,6029,25923,7075,27450
