"","ids","X.1","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest","fastest_time_in_s","fastest_distance_in_m","quietest_time_in_s","quietest_distance_in_m"
"8773",8772,8773,938948,"E02002423","E02006876",338,0,0,1,73,7,3,177,28,11,36,2,1724.53016766,0.2124860717,71.8202922238,60.8202922238,-1.5221683155,53.7596112618,-1.5182092462,53.7749327017,412,2458,412,2458
"8809",8808,8809,939132,"E02002424","E02002373",1,0,0,0,0,0,0,1,0,0,0,0,7148.5724627098,0.0718131769,0.0718131769,0.0718131769,-1.6160378671,53.7575906876,-1.5813803838,53.8184752721,2256,9257,2680,9425
"8810",8809,8810,939133,"E02002424","E02002374",4,0,0,0,0,0,0,4,0,0,0,0,6763.9530626143,0.077555349,0.310221396,0.310221396,-1.6160378671,53.7575906876,-1.5978264373,53.8174200785,2360,9905,2896,10420
"8811",8810,8811,939134,"E02002424","E02002375",1,0,0,0,0,0,0,1,0,0,0,0,7039.2321879329,0.0734008883,0.0734008883,0.0734008883,-1.6160378671,53.7575906876,-1.6270046147,53.8205240553,2565,9893,3052,10416
"8815",8814,8815,939138,"E02002424","E02002380",1,0,0,0,0,0,0,1,0,0,0,0,6637.4811170812,0.0795420849,0.0795420849,0.0795420849,-1.6160378671,53.7575906876,-1.6413464562,53.8153341658,2505,9612,2628,9968
"8816",8815,8816,939139,"E02002424","E02002381",4,0,0,0,0,0,0,3,0,0,1,0,7159.8142392808,0.0716518968,0.2866075871,0.2866075871,-1.6160378671,53.7575906876,-1.6550978034,53.8176424986,2507,9794,2670,10145
"8818",8817,8818,939141,"E02002424","E02002384",25,0,0,0,4,0,0,20,1,0,0,0,7442.2109026095,0.0677172057,1.692930143,1.692930143,-1.6160378671,53.7575906876,-1.5450850219,53.8096337814,2029,8761,3078,10572
"8819",8818,8819,939142,"E02002424","E02002385",13,0,0,0,0,0,0,13,0,0,0,0,6019.7038598676,0.090002883,1.1700374785,1.1700374785,-1.6160378671,53.7575906876,-1.5824764839,53.8079116016,1834,8191,2209,8062
"8821",8820,8821,939144,"E02002424","E02002387",18,0,0,0,1,0,0,16,1,0,0,0,5827.9292392527,0.0935219929,1.6833958722,1.6833958722,-1.6160378671,53.7575906876,-1.6352400439,53.808721822,2270,8275,2651,8804
"8822",8821,8822,939145,"E02002424","E02002388",3,0,0,0,0,0,0,3,0,0,0,0,5715.0996358433,0.0956563946,0.2869691837,0.2869691837,-1.6160378671,53.7575906876,-1.6102509195,53.8088425684,1935,8126,2462,9051
"8824",8823,8824,939147,"E02002424","E02002391",32,0,0,0,2,0,0,29,1,0,0,0,6361.1697939488,0.0840614867,2.6899675751,2.6899675751,-1.6160378671,53.7575906876,-1.6682097793,53.8056954082,2313,8662,2449,8695
"8825",8824,8825,939148,"E02002424","E02002392",65,0,0,0,11,0,2,43,6,2,1,0,6369.5044061495,0.0839214795,5.4548961654,3.4548961654,-1.6160378671,53.7575906876,-1.5609149148,53.8046175701,1836,7400,2637,8974
"8828",8827,8828,939151,"E02002424","E02002395",22,0,0,0,2,0,0,17,0,1,2,0,7275.6798911739,0.0700105886,1.5402329493,0.5402329493,-1.6160378671,53.7575906876,-1.6932426898,53.8043391989,2655,9614,3476,9181
"8829",8828,8829,939152,"E02002424","E02002396",14,0,0,0,0,1,0,10,3,0,0,0,4860.1507707738,0.1134942665,1.5889197314,1.5889197314,-1.6160378671,53.7575906876,-1.611086847,53.8011739849,1841,7099,2328,8396
"8830",8829,8830,939153,"E02002424","E02002397",8,0,0,0,1,0,0,6,1,0,0,0,5026.7690327828,0.1097745446,0.8781963569,0.8781963569,-1.6160378671,53.7575906876,-1.646020275,53.7991338977,1993,7629,2129,7662
"8833",8832,8833,939156,"E02002424","E02002400",76,0,0,0,13,2,1,53,4,1,1,1,5021.1396935258,0.1098982058,8.3522636444,7.3522636444,-1.6160378671,53.7575906876,-1.5794874121,53.7971878792,1417,6385,1697,6522
"8837",8836,8837,939160,"E02002424","E02002404",19,0,0,0,1,0,0,17,1,0,0,0,7503.1017184859,0.0668975357,1.2710531784,1.2710531784,-1.6160378671,53.7575906876,-1.5185093357,53.7923791487,2145,9615,2748,10245
"8838",8837,8838,939161,"E02002424","E02002405",3,0,0,0,0,0,0,2,0,0,1,0,5755.7490966406,0.0948818711,0.2846456132,0.2846456132,-1.6160378671,53.7575906876,-1.68442047,53.7897676905,2966,8212,3779,7764
"8840",8839,8840,939163,"E02002424","E02002407",4,0,0,0,1,0,0,3,0,0,0,0,3723.8153038883,0.1424540389,0.5698161557,0.5698161557,-1.6160378671,53.7575906876,-1.609748378,53.7908519873,1518,6505,1710,6879
"8841",8840,8841,939164,"E02002424","E02002408",17,0,0,0,2,0,0,14,1,0,0,0,4230.4134135094,0.1287277607,2.1883719314,2.1883719314,-1.6160378671,53.7575906876,-1.6531563541,53.7886108817,1579,6093,1763,6427
"8842",8841,8842,939165,"E02002424","E02002409",3,0,0,0,0,0,0,1,0,0,2,0,2948.4441040735,0.166349942,0.499049826,0.499049826,-1.6160378671,53.7575906876,-1.6306694818,53.782634954,1142,4658,1245,4835
"8843",8842,8843,939166,"E02002424","E02002410",26,0,0,0,2,0,0,20,3,0,0,1,3864.4379538017,0.1385034014,3.6010884354,3.6010884354,-1.6160378671,53.7575906876,-1.5870002098,53.7877647368,1247,5242,1400,5345
"8844",8843,8844,939167,"E02002424","E02002411",62,0,0,0,12,0,0,45,4,0,1,0,4713.056871441,0.1168827272,7.2467290854,7.2467290854,-1.6160378671,53.7575906876,-1.5612145536,53.7847868814,1129,5265,1295,5516
"8845",8844,8845,939168,"E02002424","E02002412",55,0,0,0,5,0,0,45,5,0,0,0,2173.4363691524,0.1942401346,10.683207403,10.683207403,-1.6160378671,53.7575906876,-1.6064431662,53.7762799407,1297,5126,1501,5526
"8846",8845,8846,939169,"E02002424","E02002414",42,0,0,0,3,0,0,34,4,1,0,0,5389.5154224625,0.1020925128,4.2878855364,3.2878855364,-1.6160378671,53.7575906876,-1.5451628768,53.781746077,1395,6815,1843,7108
"8847",8846,8847,939170,"E02002424","E02002415",4,0,0,0,0,0,0,4,0,0,0,0,4762.6380701917,0.1157294177,0.4629176709,0.4629176709,-1.6160378671,53.7575906876,-1.5495116861,53.7742881837,1519,6381,1736,6407
"8851",8850,8851,939174,"E02002424","E02002419",101,0,0,0,13,0,3,70,11,0,4,0,3090.1918022039,0.1617002179,16.3317220091,16.3317220091,-1.6160378671,53.7575906876,-1.5759700333,53.7720065627,950,4285,1219,4541
"8852",8851,8852,939175,"E02002424","E02002420",35,0,0,0,0,1,0,30,4,0,0,0,4173.8358726366,0.1301926531,4.5567428574,4.5567428574,-1.6160378671,53.7575906876,-1.5544406537,53.7662624593,1405,6419,1652,6050
"8853",8852,8853,939176,"E02002424","E02002421",4,0,0,0,0,0,0,3,0,0,1,0,5680.2288839523,0.0963258484,0.3853033935,0.3853033935,-1.6160378671,53.7575906876,-1.5311318696,53.766273027,2026,8456,2332,8247
"8854",8853,8854,939177,"E02002424","E02002422",124,0,0,0,14,3,0,74,17,2,13,1,1917.4735493598,0.2044427049,25.3508954125,23.3508954125,-1.6160378671,53.7575906876,-1.5870012411,53.7585630809,763,3621,1133,3869
"8855",8854,8855,939178,"E02002424","E02002423",2,0,0,0,0,0,0,2,0,0,0,0,6192.9373112361,0.0869379819,0.1738759637,0.1738759637,-1.6160378671,53.7575906876,-1.5221683155,53.7596112618,2330,10632,2662,8945
"8857",8856,8857,939180,"E02002424","E02002425",74,0,0,0,7,0,0,37,13,2,15,0,2391.1454054414,0.1859640534,13.7613399492,11.7613399492,-1.6160378671,53.7575906876,-1.6522103299,53.7560427315,967,3213,1020,3609
"8860",8859,8860,939183,"E02002424","E02002428",12,0,0,0,0,0,0,12,0,0,0,0,5257.0636703904,0.1048331188,1.257997425,1.257997425,-1.6160378671,53.7575906876,-1.5367152244,53.7528293516,2205,9521,2494,7667
"8862",8861,8862,939185,"E02002424","E02002430",4,0,0,0,0,1,0,3,0,0,0,0,4150.1996354026,0.1308095629,0.5232382518,0.5232382518,-1.6160378671,53.7575906876,-1.5552160268,53.7479997938,2051,5717,2095,5551
"8863",8862,8863,939186,"E02002424","E02002431",90,0,0,0,13,6,1,41,6,3,20,0,2696.6509942872,0.1749416126,15.7447451314,12.7447451314,-1.6160378671,53.7575906876,-1.582351837,53.7438491095,860,3707,960,3603
"8865",8864,8865,939188,"E02002424","E02002433",251,0,0,0,23,4,0,138,21,1,64,0,2105.28816686,0.1969056818,49.4233261211,48.4233261211,-1.6160378671,53.7575906876,-1.5993137073,53.7414729237,779,2898,1022,2728
"8866",8865,8866,939189,"E02002424","E02002434",3,0,0,0,0,0,0,3,0,0,0,0,6995.5760516258,0.0740445741,0.2221337222,0.2221337222,-1.6160378671,53.7575906876,-1.517214909,53.734746307,2142,9590,2802,10241
"8867",8866,8867,939190,"E02002424","E02002435",190,0,0,0,8,6,0,113,20,6,36,1,2891.8535134789,0.1682434053,31.9662470084,25.9662470084,-1.6160378671,53.7575906876,-1.6099686404,53.731849243,1254,4187,1414,4151
"8868",8867,8868,939191,"E02002424","E02002436",9,0,0,0,2,0,0,7,0,0,0,0,5534.4455902678,0.0991757329,0.8925815963,0.8925815963,-1.6160378671,53.7575906876,-1.548726411,53.7278916122,1692,7001,2347,7890
"8869",8868,8869,939192,"E02002424","E02002437",2,0,0,0,0,0,0,2,0,0,0,0,5704.9391337433,0.0958509756,0.1917019512,0.1917019512,-1.6160378671,53.7575906876,-1.5661378139,53.7157120118,1695,7224,2213,7401
"8871",8870,8871,939308,"E02002424","E02006861",13,0,0,0,1,0,0,11,1,0,0,0,7513.4043666479,0.0667598333,0.8678778325,0.8678778325,-1.6160378671,53.7575906876,-1.5650215028,53.8179856472,2293,9155,2766,9935
"8872",8871,8872,939310,"E02002424","E02006875",496,0,0,18,161,1,9,230,57,11,8,1,6327.3860265593,0.0846313927,41.9771707565,30.9771707565,-1.6160378671,53.7575906876,-1.5455825172,53.7962246679,1569,7190,2519,9086
"8873",8872,8873,939311,"E02002424","E02006876",112,0,0,0,7,1,1,98,4,1,0,0,6731.4184768956,0.0780616406,8.7429037523,7.7429037523,-1.6160378671,53.7575906876,-1.5182092462,53.7749327017,1998,9694,2298,8926
"8906",8905,8906,939520,"E02002425","E02002368",12,0,0,0,0,0,0,12,0,0,0,0,7905.2490564141,0.061727693,0.7407323161,0.7407323161,-1.6522103299,53.7560427315,-1.6852862057,53.8243425956,3155,12645,4803,11620
"8909",8908,8909,939523,"E02002425","E02002374",13,0,0,0,0,0,0,12,1,0,0,0,7711.8227101487,0.0641624361,0.8341116698,0.8341116698,-1.6522103299,53.7560427315,-1.5978264373,53.8174200785,2761,10579,3153,10760
"8910",8909,8910,939524,"E02002425","E02002375",3,0,0,0,0,0,0,3,0,0,0,0,7363.940402425,0.0687855982,0.2063567945,0.2063567945,-1.6522103299,53.7560427315,-1.6270046147,53.8205240553,2664,10283,3309,10756
"8914",8913,8914,939528,"E02002425","E02002380",4,0,0,0,0,0,0,4,0,0,0,0,6635.5022291821,0.0795735721,0.3182942884,0.3182942884,-1.6522103299,53.7560427315,-1.6413464562,53.8153341658,2604,10002,3071,10919
"8915",8914,8915,939529,"E02002425","E02002381",10,0,0,0,0,0,0,9,1,0,0,0,6856.1506514844,0.0761383701,0.7613837012,0.7613837012,-1.6522103299,53.7560427315,-1.6550978034,53.8176424986,2606,10184,3113,11096
"8918",8917,8918,939532,"E02002425","E02002385",12,0,0,0,1,0,0,10,0,0,1,0,7376.863464061,0.0686080436,0.8232965235,0.8232965235,-1.6522103299,53.7560427315,-1.5824764839,53.8079116016,2509,11217,2982,10638
"8920",8919,8920,939534,"E02002425","E02002387",11,0,0,0,1,0,0,9,0,1,0,0,5966.8022883872,0.0909601972,1.0005621688,0.0005621688,-1.6522103299,53.7560427315,-1.6352400439,53.808721822,2369,8665,2908,9144
"8921",8920,8921,939535,"E02002425","E02002388",12,0,0,0,0,0,0,11,1,0,0,0,6492.6436430949,0.0818799169,0.9825590029,0.9825590029,-1.6522103299,53.7560427315,-1.6102509195,53.8088425684,2348,9210,2719,9391
"8923",8922,8923,939537,"E02002425","E02002391",42,0,0,0,0,0,2,38,2,0,0,0,5624.0656075555,0.0974139431,4.0913856092,4.0913856092,-1.6522103299,53.7560427315,-1.6682097793,53.8056954082,2412,9052,3163,8170
"8927",8926,8927,939541,"E02002425","E02002395",25,0,0,0,2,0,0,22,1,0,0,0,6015.4189935609,0.0900800461,2.252001152,2.252001152,-1.6522103299,53.7560427315,-1.6932426898,53.8043391989,2515,9804,3289,8440
"8928",8927,8928,939542,"E02002425","E02002396",27,0,0,0,4,0,0,21,2,0,0,0,5705.9885684517,0.0958308598,2.5874332159,2.5874332159,-1.6522103299,53.7560427315,-1.611086847,53.8011739849,2187,8511,2585,8736
"8929",8928,8929,939543,"E02002425","E02002397",9,0,0,0,0,0,0,7,1,0,1,0,4811.6672404011,0.1146001401,1.0314012607,1.0314012607,-1.6522103299,53.7560427315,-1.646020275,53.7991338977,2092,8019,2572,8613
"8932",8931,8932,939546,"E02002425","E02002400",77,0,0,0,4,4,1,59,7,2,0,0,6627.6484049871,0.0796986617,6.1367969492,4.1367969492,-1.6522103299,53.7560427315,-1.5794874121,53.7971878792,2067,9131,2510,9415
"8937",8936,8937,939551,"E02002425","E02002405",2,0,0,0,0,0,0,2,0,0,0,0,4311.1681388275,0.1266653852,0.2533307703,0.2533307703,-1.6522103299,53.7560427315,-1.68442047,53.7897676905,2907,8300,3592,7023
"8939",8938,8939,939553,"E02002425","E02002407",14,0,0,0,1,0,0,10,2,0,1,0,4778.1385220385,0.1153712016,1.6151968227,1.6151968227,-1.6522103299,53.7560427315,-1.609748378,53.7908519873,1655,7098,1967,7219
"8940",8939,8940,939554,"E02002425","E02002408",19,0,0,0,0,0,0,18,1,0,0,0,3624.0494448041,0.1453249959,2.761174923,2.761174923,-1.6522103299,53.7560427315,-1.6531563541,53.7886108817,1678,6483,1972,6679
"8941",8940,8941,939555,"E02002425","E02002409",12,0,0,0,0,0,0,10,1,0,1,0,3281.4036345371,0.1556331675,1.86759801,1.86759801,-1.6522103299,53.7560427315,-1.6306694818,53.782634954,1241,5048,1502,5175
"8942",8941,8942,939556,"E02002425","E02002410",21,0,0,0,1,0,0,18,2,0,0,0,5561.4228473027,0.098642076,2.0714835967,2.0714835967,-1.6522103299,53.7560427315,-1.5870002098,53.7877647368,1737,7372,2173,7921
"8943",8942,8943,939557,"E02002425","E02002411",60,0,0,0,9,0,1,44,5,0,1,0,6797.0374024206,0.0770438696,4.6226321736,4.6226321736,-1.6522103299,53.7560427315,-1.5612145536,53.7847868814,1804,8291,2694,9775
"8944",8943,8944,939558,"E02002425","E02002412",57,0,0,0,5,1,1,42,3,2,3,0,3764.4511519559,0.1413009827,8.054156013,6.054156013,-1.6522103299,53.7560427315,-1.6064431662,53.7762799407,1396,5516,1758,5866
"8945",8944,8945,939559,"E02002425","E02002414",29,0,0,0,3,1,0,22,1,1,1,0,7613.4386692968,0.0654374511,1.8976860808,0.8976860808,-1.6522103299,53.7560427315,-1.5451628768,53.781746077,2070,9841,2855,11478
"8946",8945,8946,939560,"E02002425","E02002415",10,0,0,0,0,0,0,10,0,0,0,0,7067.6943377554,0.0729842458,0.7298424582,0.7298424582,-1.6522103299,53.7560427315,-1.5495116861,53.7742881837,2194,9407,2748,10777
"8950",8949,8950,939564,"E02002425","E02002419",65,0,0,0,5,0,1,54,4,0,1,0,5330.5234153311,0.103304175,6.7147713751,6.7147713751,-1.6522103299,53.7560427315,-1.5759700333,53.7720065627,1625,7311,2185,9034
"8951",8950,8951,939565,"E02002425","E02002420",48,0,0,0,3,0,1,41,3,0,0,0,6545.0726112628,0.0810258267,3.8892396832,3.8892396832,-1.6522103299,53.7560427315,-1.5544406537,53.7662624593,1941,8997,2664,10420
"8953",8952,8953,939567,"E02002425","E02002422",71,0,0,0,8,2,0,48,10,0,3,0,4308.4969810178,0.1267330719,8.9980481043,8.9980481043,-1.6522103299,53.7560427315,-1.5870012411,53.7585630809,1299,6199,1804,7109
"8955",8954,8955,939569,"E02002425","E02002424",98,0,0,1,3,3,1,56,10,3,21,0,2391.1454054414,0.1859640534,18.22447723,15.22447723,-1.6522103299,53.7560427315,-1.6160378671,53.7575906876,709,3188,844,3850
"8959",8958,8959,939573,"E02002425","E02002428",7,0,0,0,0,0,0,7,0,0,0,0,7623.8650996691,0.0653011374,0.457107962,0.457107962,-1.6522103299,53.7560427315,-1.5367152244,53.7528293516,2519,10925,3165,10907
"8961",8960,8961,939575,"E02002425","E02002430",2,0,0,0,0,0,0,2,0,0,0,0,6458.253878261,0.0824450243,0.1648900486,0.1648900486,-1.6522103299,53.7560427315,-1.5552160268,53.7479997938,2400,10079,2766,8791
"8962",8961,8962,939576,"E02002425","E02002431",44,0,0,0,3,1,0,36,2,0,2,0,4802.3483864135,0.1148139276,5.0518128159,5.0518128159,-1.6522103299,53.7560427315,-1.582351837,53.7438491095,1396,6285,1631,6843
"8964",8963,8964,939578,"E02002425","E02002433",124,0,0,0,15,3,0,87,10,3,6,0,3846.5942686969,0.1389985666,17.2358222596,14.2358222596,-1.6522103299,53.7560427315,-1.5993137073,53.7414729237,1165,4745,1693,5968
"8966",8965,8966,939580,"E02002425","E02002435",173,0,0,0,9,1,0,130,13,3,15,2,3874.0471348588,0.1382374761,23.9150833695,20.9150833695,-1.6522103299,53.7560427315,-1.6099686404,53.731849243,1322,4657,1322,4657
"8967",8966,8967,939581,"E02002425","E02002436",13,0,0,0,3,0,0,10,0,0,0,0,7509.9580105712,0.0668058648,0.8684762419,0.8684762419,-1.6522103299,53.7560427315,-1.548726411,53.7278916122,2006,8405,3018,11130
"9004",9003,9004,939900,"E02002426","E02002369",3,0,0,0,0,0,0,3,0,0,0,0,7883.6424447337,0.0619950154,0.1859850463,0.1859850463,-1.4497412823,53.7516900235,-1.479266593,53.820355325,2648,10857,3435,14414
"9005",9004,9005,939901,"E02002426","E02002370",3,0,0,0,1,0,0,2,0,0,0,0,7819.4018085684,0.0627966742,0.1883900225,0.1883900225,-1.4497412823,53.7516900235,-1.4421484083,53.8218248926,2399,9605,2519,9843
"9009",9008,9009,939905,"E02002426","E02002376",4,0,0,0,0,0,0,4,0,0,0,0,7851.3435600575,0.0623967857,0.2495871428,0.2495871428,-1.4497412823,53.7516900235,-1.5006442299,53.815492733,2828,11256,3069,12957
"9011",9010,9011,939907,"E02002426","E02002379",6,0,0,0,0,0,0,6,0,0,0,0,7032.4898385416,0.0734999339,0.4409996034,0.4409996034,-1.4497412823,53.7516900235,-1.4640100536,53.814328863,2387,9415,2712,10139
"9014",9013,9014,939910,"E02002426","E02002382",3,0,0,0,1,0,0,1,0,0,1,0,7776.423340279,0.0633387817,0.1900163451,0.1900163451,-1.4497412823,53.7516900235,-1.5121470392,53.8110109367,2771,10821,3037,12502
"9018",9017,9018,939914,"E02002426","E02002386",26,0,0,1,1,0,0,22,1,0,0,1,6447.339860099,0.0826251821,2.1482547357,2.1482547357,-1.4497412823,53.7516900235,-1.4237982697,53.8075625094,2147,8709,2267,8947
"9020",9019,9020,939916,"E02002426","E02002389",1,0,0,0,0,0,0,1,0,0,0,0,6888.0032850907,0.0756548703,0.0756548703,0.0756548703,-1.4497412823,53.7516900235,-1.4912905295,53.8084967192,2519,10089,2726,11928
"9021",9020,9021,939917,"E02002426","E02002390",14,0,0,0,2,0,0,12,0,0,0,0,6212.0471034961,0.0866063427,1.2124887975,1.2124887975,-1.4497412823,53.7516900235,-1.4693922426,53.8062954254,2235,8921,2458,9814
"9024",9023,9024,939920,"E02002426","E02002393",55,0,0,5,7,1,1,32,8,1,0,0,7641.6665493773,0.0650690598,3.5787982905,2.5787982905,-1.4497412823,53.7516900235,-1.523831007,53.804524144,2586,10850,2604,10847
"9025",9024,9025,939921,"E02002426","E02002394",17,0,0,0,2,0,0,14,1,0,0,0,6950.142536101,0.0747204613,1.2702478419,1.2702478419,-1.4497412823,53.7516900235,-1.5096383515,53.8031039327,2476,10580,2736,11407
"9029",9028,9029,939925,"E02002426","E02002398",9,0,0,1,0,0,0,8,0,0,0,0,3548.802838689,0.1475285781,1.327757203,1.327757203,-1.4497412823,53.7516900235,-1.460795059,53.7829085208,1719,5805,1935,5758
"9030",9029,9030,939926,"E02002426","E02002399",53,0,0,0,3,1,2,42,0,2,2,1,5280.2042536564,0.1043490599,5.5305001722,3.5305001722,-1.4497412823,53.7516900235,-1.5026560497,53.78732075,1881,7822,1862,8136
"9032",9031,9032,939928,"E02002426","E02002401",4,0,0,0,0,0,0,4,0,0,0,0,4097.1877804742,0.1322038327,0.5288153307,0.5288153307,-1.4497412823,53.7516900235,-1.4836544556,53.7825528843,1580,6503,1703,6742
"9033",9032,9033,939929,"E02002426","E02002402",43,0,1,0,4,0,0,34,3,1,0,0,4603.5985973693,0.1194696967,5.1371969585,4.1371969585,-1.4497412823,53.7516900235,-1.4368532119,53.7923560633,1491,5552,1639,5789
"9034",9033,9034,939930,"E02002426","E02002403",30,0,0,0,1,0,0,22,6,0,1,0,6337.6857610623,0.0844572359,2.5337170775,2.5337170775,-1.4497412823,53.7516900235,-1.3874627589,53.795090583,1838,7190,4313,11688
"9035",9034,9035,939931,"E02002426","E02002404",40,0,0,0,4,0,1,31,3,0,1,0,6406.1262542725,0.0833090531,3.3323621235,3.3323621235,-1.4497412823,53.7516900235,-1.5185093357,53.7923791487,2135,9353,2251,9398
"9037",9036,9037,939933,"E02002426","E02002406",4,0,0,0,0,0,0,3,1,0,0,0,6592.2902612467,0.0802642585,0.3210570341,0.3210570341,-1.4497412823,53.7516900235,-1.3695940677,53.7871307636,2106,7913,4364,11645
"9044",9043,9044,939940,"E02002426","E02002414",40,0,0,2,4,0,0,29,4,1,0,0,7123.7223079675,0.0721709791,2.8868391625,1.8868391625,-1.4497412823,53.7516900235,-1.5451628768,53.781746077,2023,8646,2688,11069
"9045",9044,9045,939941,"E02002426","E02002415",16,0,0,0,1,0,0,14,1,0,0,0,7041.4706617584,0.0733680344,1.1738885506,1.1738885506,-1.4497412823,53.7516900235,-1.5495116861,53.7742881837,2169,8636,2414,9906
"9046",9045,9046,939942,"E02002426","E02002416",58,0,0,3,3,0,0,42,8,1,1,0,3112.668158744,0.1609749629,9.3365478478,8.3365478478,-1.4497412823,53.7516900235,-1.4119631696,53.7684705358,1001,3704,1878,4798
"9047",9046,9047,939943,"E02002426","E02002417",14,0,0,0,0,0,0,14,0,0,0,0,7575.8683431039,0.0659310043,0.9230340604,0.9230340604,-1.4497412823,53.7516900235,-1.3368001311,53.7642201515,3121,11234,5026,13987
"9048",9047,9048,939944,"E02002426","E02002418",4,0,0,0,0,0,0,3,0,0,1,0,5095.5773034789,0.1082742125,0.43309685,0.43309685,-1.4497412823,53.7516900235,-1.3777795008,53.7683968144,2053,7647,3829,9365
"9050",9049,9050,939946,"E02002426","E02002420",23,0,0,1,0,0,1,16,2,2,1,0,7090.7533749114,0.0726484315,1.670913924,-0.329086076,-1.4497412823,53.7516900235,-1.5544406537,53.7662624593,2315,9340,2867,11482
"9051",9050,9051,939947,"E02002426","E02002421",5,0,0,1,1,0,0,2,0,0,1,0,5606.0319512737,0.0977659234,0.4888296168,0.4888296168,-1.4497412823,53.7516900235,-1.5311318696,53.766273027,2058,7476,2357,9382
"9056",9055,9056,939952,"E02002426","E02002427",142,0,1,0,16,4,2,88,12,1,18,0,1916.0838667364,0.2044995349,29.0389339603,28.0389339603,-1.4497412823,53.7516900235,-1.4787898939,53.7512783244,741,2696,921,3121
"9057",9056,9057,939953,"E02002426","E02002428",11,0,0,0,3,0,0,8,0,0,0,0,5736.4368843037,0.0952490555,1.0477396103,1.0477396103,-1.4497412823,53.7516900235,-1.5367152244,53.7528293516,2080,7381,2520,8704
"9058",9057,9058,939954,"E02002426","E02002429",73,0,0,0,2,8,0,48,7,0,8,0,1379.2607870939,0.2276775372,16.6204602138,16.6204602138,-1.4497412823,53.7516900235,-1.4668471226,53.7445513485,893,2893,1391,4134
"9059",9058,9059,939955,"E02002426","E02002430",5,0,0,0,0,0,0,5,0,0,0,0,6967.5009591299,0.0744615052,0.3723075259,0.3723075259,-1.4497412823,53.7516900235,-1.5552160268,53.7479997938,2481,8494,2899,9463
"9061",9060,9061,939957,"E02002426","E02002432",29,0,0,0,2,0,0,24,3,0,0,0,4190.252521436,0.1297658886,3.7632107706,3.7632107706,-1.4497412823,53.7516900235,-1.3907128949,53.7377548683,1072,5447,1353,5019
"9063",9062,9063,939959,"E02002426","E02002434",19,0,0,1,0,0,1,15,1,0,0,1,4832.859996618,0.1141154295,2.1681931599,2.1681931599,-1.4497412823,53.7516900235,-1.517214909,53.734746307,1792,6290,2113,7350
"9065",9064,9065,939961,"E02002426","E02002436",6,0,0,0,2,0,0,4,0,0,0,0,7045.3635267158,0.0733109343,0.4398656056,0.4398656056,-1.4497412823,53.7516900235,-1.548726411,53.7278916122,2422,8481,2847,10065
"9070",9069,9070,940110,"E02002426","E02006876",261,0,0,1,45,0,2,187,17,6,2,1,5201.753553862,0.105999223,27.6657972026,21.6657972026,-1.4497412823,53.7516900235,-1.5182092462,53.7749327017,1450,5994,1696,7426
"9104",9103,9104,940256,"E02002427","E02002369",5,0,0,0,0,0,0,4,1,0,0,0,7685.6850715942,0.0644987253,0.3224936263,0.3224936263,-1.4787898939,53.7512783244,-1.479266593,53.820355325,2793,11846,3345,12681
"9110",9109,9110,940262,"E02002427","E02002376",2,0,0,0,0,0,0,2,0,0,0,0,7288.2899903492,0.069834243,0.139668486,0.139668486,-1.4787898939,53.7512783244,-1.5006442299,53.815492733,2555,10715,2979,11224
"9111",9110,9111,940263,"E02002427","E02002377",4,0,0,0,1,0,0,3,0,0,0,0,7616.4826772204,0.0653976248,0.2615904991,0.2615904991,-1.4787898939,53.7512783244,-1.5194226834,53.8153651938,2421,10223,2827,10280
"9112",9111,9112,940264,"E02002427","E02002379",3,0,0,0,0,0,0,3,0,0,0,0,7082.4011385382,0.0727698883,0.2183096648,0.2183096648,-1.4787898939,53.7512783244,-1.4640100536,53.814328863,2848,11412,3424,12756
"9115",9114,9115,940267,"E02002427","E02002382",2,0,0,0,0,0,0,2,0,0,0,0,7000.0007331667,0.0739790783,0.1479581567,0.1479581567,-1.4787898939,53.7512783244,-1.5121470392,53.8110109367,2413,9994,2947,10769
"9117",9116,9117,940269,"E02002427","E02002384",22,0,0,0,2,0,0,17,1,0,2,0,7825.5819879748,0.0627191032,1.3798202698,1.3798202698,-1.4787898939,53.7512783244,-1.5450850219,53.8096337814,2415,9848,2841,9333
"9119",9118,9119,940271,"E02002427","E02002386",17,0,0,0,3,0,0,14,0,0,0,0,7235.2769895861,0.0705786067,1.1998363132,1.1998363132,-1.4787898939,53.7512783244,-1.4237982697,53.8075625094,2608,10706,2768,10893
"9122",9121,9122,940274,"E02002427","E02002389",3,0,0,0,0,0,0,2,0,1,0,0,6419.279397338,0.0830901859,0.2492705577,-0.7507294423,-1.4787898939,53.7512783244,-1.4912905295,53.8084967192,2313,9945,2636,10195
"9123",9122,9123,940275,"E02002427","E02002390",16,0,0,0,4,0,0,10,1,1,0,0,6152.5693998995,0.0876427239,1.4022835822,0.4022835822,-1.4787898939,53.7512783244,-1.4693922426,53.8062954254,2696,10918,3487,11262
